source_id,title,url,role_in_benchmark
SRC01,Governo de Goiás amplia capacidade de armazenagem para acompanhar produção de grãos,https://goias.gov.br/agricultura/governo-de-goias-amplia-capacidade-de-armazenagem-para-acompanhar-producao-de-graos/,"Context calibration: Goiás storage capacity 17.5 Mt in 695 units and production 36.9 Mt in 2024/25, motivating peak-pressure regimes."
SRC02,SOJA – AGRO EM DADOS / JULHO 2025,https://goias.gov.br/agricultura/soja-agro-em-dados-julho-2025/,"Context calibration: Goiás soybean production 20.4 Mt versus state storage capacity around 17.5 Mt, motivating outbound pressure and appointment scarcity."
SRC03,Diesel e safrinha 'cheia' vão sustentar os preços do frete - ESALQ-LOG,https://esalqlog.esalq.usp.br/diesel-e-safrinha-cheia-vao-sustentar-os-precos-do-frete,Context calibration: freight pressure and route Rio Verde-Santos used to motivate costly waiting and logistics stress.
SRC04,Pagamento do Tempo Adicional de Carga e Descarga - ANTT,https://www.gov.br/antt/pt-br/assuntos/cargas/carga-descarga,Legal calibration: 5-hour statutory wait limit and 2025 compensation update (R$ 2.41 per ton-hour) used in overwait penalty fields.
SRC05,Lei nº 11.442/2007 - Planalto,https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/lei/l11442.htm,Legal calibration: establishes 5-hour maximum load/unload waiting reference after arrival.
SRC06,Obter Informações sobre a Rede Armazenadora Brasileira - Sicarm,https://www.gov.br/pt-br/servicos/obter-informacoes-sobre-a-rede-armazenadora-brasileira,Structural calibration: Sicarm is the official source for units and storage infrastructure.
SRC07,Rede Armazenadora da Conab,https://www.gov.br/conab/pt-br/atuacao/armazenagem/rede-armazenadora-da-conab,"Operational calibration: Conab storage units provide weighing, cleaning, drying and storage services; benchmark keeps weighing, inspection/classification and unloading as the v1 core stages."
SRC08,ARMAZENAGEM - Norma da Conab (PDF),https://www.gov.br/conab/pt-br/acesso-a-informacao/institucional/atos-normativos/normas-da-organizacao/operacoes/30-101_norma_de_armazenagem-27-1-2020.pdf,"Operational calibration: explicit mention that reception, processing and expedition depend on equipment flow and that trucks are queued by arrival/FIFO in the unit."
SRC09,The generalized flexible job shop scheduling problem,https://www.sciencedirect.com/science/article/pii/S0360835221004460,Methodological calibration: richer FJSP constraints and benchmark-oriented dataset design.
SRC10,Greedy randomized adaptive search for dynamic flexible job-shop scheduling,https://www.sciencedirect.com/science/article/pii/S0278612520300959,"Methodological calibration: dynamic events such as new orders, due-date changes, machine breakdowns and urgent orders."
SRC11,Intelligent scheduling method for multi-machine cooperative operation based on NSGA-III and improved ant colony algorithm,https://www.sciencedirect.com/science/article/pii/S0168169922008407,"Analog domain calibration: agricultural scheduling with harvester/grain truck coordination under location, time-window and path constraints."
SRC12,Cross-Dock Trailer Scheduling with Workforce Constraints dataset (640 instances) - Zenodo,https://zenodo.org/records/13999430,Benchmark packaging inspiration: instance-family structure with multiple CSV files per scenario.
SRC13,Problem instances for integrated truck and workforce scheduling problem - Zenodo,https://zenodo.org/record/1487845,Benchmark packaging inspiration: XS/S/M/L scaling families for truck-centric logistics problems.
SRC14,Gurobi Python tupledict reference,https://docs.gurobi.com/projects/optimizer/en/current/reference/python/tupledict.html,Implementation calibration: tuple-indexed data layout for variables and coefficients.
SRC15,Gurobi Python addVars and multidict reference,https://docs.gurobi.com/projects/optimizer/en/current/reference/python/model.html,Implementation calibration: loader organized for addVars-style tuple keys.
SRC16,Gurobi multidict reference,https://docs.gurobi.com/projects/optimizer/en/current/reference/python/func_global.html,Implementation calibration: optional conversion to multidict/tupledict objects.
